IFNOISE  = 1
IFSCINT  = 0
IFCOSRAY = 0
VARSEE   = 2
IFVAR    = 0
IFGRAY   = 1
RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0064 -2.04444 1.10483 1.00000 1.00000 1.00000 0.03000 1.30000 2.12328 1.01699
0065 -2.03333 1.15576 1.00000 1.00000 1.00000 0.03000 1.30000 2.18147 1.00979
0066 -2.02222 1.96729 1.00000 1.00000 1.00000 0.03000 1.30000 3.00159 1.02704
0067 -2.01111 2.21331 1.00000 1.00000 1.00000 0.03000 1.30000 3.22148 1.04699
0068 -2.00000 1.14525 1.00000 1.00000 1.00000 0.03000 1.30000 2.16955 1.04571
0069 -1.98889 1.38546 1.00000 1.00000 1.00000 0.03000 1.30000 2.43213 1.03287
0070 -1.97222 1.02005 1.00000 1.00000 1.00000 0.03000 1.30000 2.02397 1.04393
0071 -1.80972 1.31526 1.00000 1.00000 1.00000 0.03000 1.30000 2.35742 1.03221
0072 -1.79861 1.33602 1.00000 1.00000 1.00000 0.03000 1.30000 2.37968 1.03353
0073 -1.78750 1.13333 1.00000 1.00000 1.00000 0.03000 1.30000 2.15598 1.04304
0074 -1.77639 1.13815 1.00000 1.00000 1.00000 0.03000 1.30000 2.16147 1.00935
0075 -1.76528 1.79788 1.00000 1.00000 1.00000 0.03000 1.30000 2.84372 1.02961
0076 -1.75417 2.00358 1.00000 1.00000 1.00000 0.03000 1.30000 3.03469 1.00119
0077 -1.74306 1.11298 1.00000 1.00000 1.00000 0.03000 1.30000 2.13266 1.01889
0078 -1.73194 1.41799 1.00000 1.00000 1.00000 0.03000 1.30000 2.46624 1.03092
0079 -1.71528 1.02235 1.00000 1.00000 1.00000 0.03000 1.30000 2.02670 1.04814
0080 -1.55278 1.27439 1.00000 1.00000 1.00000 0.03000 1.30000 2.31319 1.04253
0081 -1.54167 1.27541 1.00000 1.00000 1.00000 0.03000 1.30000 2.31430 1.04324
0082 -1.53056 1.16669 1.00000 1.00000 1.00000 0.03000 1.30000 2.19383 1.04311
0083 -1.51944 1.12581 1.00000 1.00000 1.00000 0.03000 1.30000 2.14738 1.03817
0084 -1.50833 1.66100 1.00000 1.00000 1.00000 0.03000 1.30000 2.71176 1.00995
0085 -1.49722 1.83359 1.00000 1.00000 1.00000 0.03000 1.30000 2.87747 1.02155
0086 -1.48611 1.08629 1.00000 1.00000 1.00000 0.03000 1.30000 2.10183 1.00152
0087 -1.47500 1.45968 1.00000 1.00000 1.00000 0.03000 1.30000 2.50948 1.02439
0088 -1.45833 1.02846 1.00000 1.00000 1.00000 0.03000 1.30000 2.03395 1.00814
0089 -1.29583 1.24140 1.00000 1.00000 1.00000 0.03000 1.30000 2.27707 1.01602
0090 -1.28472 1.22442 1.00000 1.00000 1.00000 0.03000 1.30000 2.25834 1.03755
0091 -1.27361 1.20548 1.00000 1.00000 1.00000 0.03000 1.30000 2.23731 1.04849
0092 -1.26250 1.11847 1.00000 1.00000 1.00000 0.03000 1.30000 2.13897 1.00171
0093 -1.25139 1.54892 1.00000 1.00000 1.00000 0.03000 1.30000 2.60044 1.01957
0094 -1.24028 1.69374 1.00000 1.00000 1.00000 0.03000 1.30000 2.74371 1.02766
0095 -1.22917 1.06463 1.00000 1.00000 1.00000 0.03000 1.30000 2.07659 1.04644
0096 -1.21806 1.51182 1.00000 1.00000 1.00000 0.03000 1.30000 2.56289 1.00869
0097 -1.20139 1.03849 1.00000 1.00000 1.00000 0.03000 1.30000 2.04584 1.00541
0098 -1.03889 1.21541 1.00000 1.00000 1.00000 0.03000 1.30000 2.24835 1.04198
0099 -1.02778 1.18162 1.00000 1.00000 1.00000 0.03000 1.30000 2.21064 1.02312
0100 -1.01667 1.25041 1.00000 1.00000 1.00000 0.03000 1.30000 2.28697 1.01934
0101 -1.00556 1.11597 1.00000 1.00000 1.00000 0.03000 1.30000 2.13610 1.01411
0102 -0.99444 1.45625 1.00000 1.00000 1.00000 0.03000 1.30000 2.50594 1.02449
0103 -0.98333 1.57732 1.00000 1.00000 1.00000 0.03000 1.30000 2.62895 1.01368
0104 -0.97222 1.04758 1.00000 1.00000 1.00000 0.03000 1.30000 2.05656 1.04885
0105 -0.96111 1.57616 1.00000 1.00000 1.00000 0.03000 1.30000 2.62779 1.02963
0106 -0.94444 1.05263 1.00000 1.00000 1.00000 0.03000 1.30000 2.06250 1.02026
0107 -0.78194 1.19577 1.00000 1.00000 1.00000 0.03000 1.30000 2.22648 1.03637
0108 -0.77083 1.14591 1.00000 1.00000 1.00000 0.03000 1.30000 2.17030 1.00358
0109 -0.75972 1.30235 1.00000 1.00000 1.00000 0.03000 1.30000 2.34351 1.04993
0110 -0.74861 1.11826 1.00000 1.00000 1.00000 0.03000 1.30000 2.13873 1.00589
0111 -0.73750 1.37910 1.00000 1.00000 1.00000 0.03000 1.30000 2.42542 1.04672
0112 -0.72639 1.47951 1.00000 1.00000 1.00000 0.03000 1.30000 2.52988 1.01230
0113 -0.71528 1.03479 1.00000 1.00000 1.00000 0.03000 1.30000 2.04147 1.02567
0114 -0.70417 1.65509 1.00000 1.00000 1.00000 0.03000 1.30000 2.70597 1.04601
0115 -0.68750 1.07113 1.00000 1.00000 1.00000 0.03000 1.30000 2.08419 1.04642
0116 -0.52500 1.18200 1.00000 1.00000 1.00000 0.03000 1.30000 2.21106 1.04820
0117 -0.51389 1.11641 1.00000 1.00000 1.00000 0.03000 1.30000 2.13661 1.02278
0118 -0.50278 1.36239 1.00000 1.00000 1.00000 0.03000 1.30000 2.40774 1.04205
