RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0001 -4.00000 2.33020 1.00000 1.00000 1.00000 0.03000 1.30000 1.66125 0.98801
0002 -3.98889 2.82839 1.00000 1.00000 1.00000 0.03000 1.30000 1.86605 0.98807
0003 -3.97778 1.01139 1.00000 1.00000 1.00000 0.03000 1.30000 1.00682 0.98814
0004 -3.96667 1.53135 1.00000 1.00000 1.00000 0.03000 1.30000 1.29135 0.98821
0005 -3.95556 1.69889 1.00000 1.00000 1.00000 0.03000 1.30000 1.37435 0.98827
0006 -3.94444 1.37839 1.00000 1.00000 1.00000 0.03000 1.30000 1.21234 0.98834
0007 -3.92778 1.13558 1.00000 1.00000 1.00000 0.03000 1.30000 1.07927 0.98844
0008 -3.76528 2.11229 1.00000 1.00000 1.00000 0.03000 1.30000 1.56622 0.98943
0009 -3.75417 2.49040 1.00000 1.00000 1.00000 0.03000 1.30000 1.72886 0.98950
0010 -3.74306 1.01289 1.00000 1.00000 1.00000 0.03000 1.30000 1.00771 0.98956
0011 -3.73194 1.45277 1.00000 1.00000 1.00000 0.03000 1.30000 1.25118 0.98963
0012 -3.72083 1.58721 1.00000 1.00000 1.00000 0.03000 1.30000 1.31941 0.98970
0013 -3.70972 1.35769 1.00000 1.00000 1.00000 0.03000 1.30000 1.20138 0.98977
0014 -3.69306 1.10737 1.00000 1.00000 1.00000 0.03000 1.30000 1.06310 0.98987
0015 -3.53056 1.93810 1.00000 1.00000 1.00000 0.03000 1.30000 1.48739 0.99086
0016 -3.51944 2.22900 1.00000 1.00000 1.00000 0.03000 1.30000 1.61758 0.99093
0017 -3.50833 1.01693 1.00000 1.00000 1.00000 0.03000 1.30000 1.01012 0.99100
0018 -3.49722 1.38647 1.00000 1.00000 1.00000 0.03000 1.30000 1.21660 0.99106
0019 -3.48611 1.49304 1.00000 1.00000 1.00000 0.03000 1.30000 1.27187 0.99113
0020 -3.47500 1.34319 1.00000 1.00000 1.00000 0.03000 1.30000 1.19367 0.99120
0021 -3.45833 1.08371 1.00000 1.00000 1.00000 0.03000 1.30000 1.04942 0.99130
0022 -3.29583 1.79655 1.00000 1.00000 1.00000 0.03000 1.30000 1.42123 0.99230
0023 -3.28472 2.02178 1.00000 1.00000 1.00000 0.03000 1.30000 1.52560 0.99237
0024 -3.27361 1.02355 1.00000 1.00000 1.00000 0.03000 1.30000 1.01407 0.99244
0025 -3.26250 1.33042 1.00000 1.00000 1.00000 0.03000 1.30000 1.18684 0.99250
0026 -3.25139 1.41307 1.00000 1.00000 1.00000 0.03000 1.30000 1.23055 0.99257
0027 -3.24028 1.33457 1.00000 1.00000 1.00000 0.03000 1.30000 1.18906 0.99264
0028 -3.22361 1.06422 1.00000 1.00000 1.00000 0.03000 1.30000 1.03805 0.99274
0029 -3.06111 1.68007 1.00000 1.00000 1.00000 0.03000 1.30000 1.36520 0.99374
0030 -3.05000 1.85427 1.00000 1.00000 1.00000 0.03000 1.30000 1.44845 0.99380
0031 -3.03889 1.03284 1.00000 1.00000 1.00000 0.03000 1.30000 1.01957 0.99387
0032 -3.02778 1.28308 1.00000 1.00000 1.00000 0.03000 1.30000 1.16132 0.99394
0033 -3.01667 1.34480 1.00000 1.00000 1.00000 0.03000 1.30000 1.19452 0.99401
0034 -3.00556 1.33162 1.00000 1.00000 1.00000 0.03000 1.30000 1.18749 0.99408
0035 -2.98889 1.04855 1.00000 1.00000 1.00000 0.03000 1.30000 1.02885 0.99418
0036 -2.82639 1.58331 1.00000 1.00000 1.00000 0.03000 1.30000 1.31747 0.99517
0037 -2.81528 1.71675 1.00000 1.00000 1.00000 0.03000 1.30000 1.38300 0.99524
0038 -2.80417 1.04489 1.00000 1.00000 1.00000 0.03000 1.30000 1.02670 0.99530
0039 -2.79306 1.24323 1.00000 1.00000 1.00000 0.03000 1.30000 1.13955 0.99537
0040 -2.78194 2.80115 1.00000 1.00000 1.00000 0.03000 1.30000 1.85525 0.99544
0041 -2.77083 1.28376 1.00000 1.00000 1.00000 0.03000 1.30000 1.16169 0.99550
0042 -2.75972 1.33457 1.00000 1.00000 1.00000 0.03000 1.30000 1.18906 0.99557
0043 -2.74306 1.03598 1.00000 1.00000 1.00000 0.03000 1.30000 1.02143 0.99567
0044 -2.58056 1.49890 1.00000 1.00000 1.00000 0.03000 1.30000 1.27486 0.99665
0045 -2.56944 1.59753 1.00000 1.00000 1.00000 0.03000 1.30000 1.32455 0.99672
0046 -2.55833 1.06063 1.00000 1.00000 1.00000 0.03000 1.30000 1.03595 0.99679
0047 -2.54722 1.20852 1.00000 1.00000 1.00000 0.03000 1.30000 1.12035 0.99685
0048 -2.53611 2.45521 1.00000 1.00000 1.00000 0.03000 1.30000 1.71417 0.99692
0049 -2.52500 2.81598 1.00000 1.00000 1.00000 0.03000 1.30000 1.86114 0.99699
0050 -2.51389 1.22961 1.00000 1.00000 1.00000 0.03000 1.30000 1.13203 0.99705
0051 -2.50278 1.34431 1.00000 1.00000 1.00000 0.03000 1.30000 1.19426 0.99712
0052 -2.48611 1.02681 1.00000 1.00000 1.00000 0.03000 1.30000 1.01600 0.99722
0053 -2.32361 1.42571 1.00000 1.00000 1.00000 0.03000 1.30000 1.23714 0.99818
0054 -2.31250 1.49419 1.00000 1.00000 1.00000 0.03000 1.30000 1.27246 0.99825
0055 -2.30139 1.08072 1.00000 1.00000 1.00000 0.03000 1.30000 1.04768 0.99832
0056 -2.29028 1.17903 1.00000 1.00000 1.00000 0.03000 1.30000 1.10386 0.99838
0057 -2.27917 2.18058 1.00000 1.00000 1.00000 0.03000 1.30000 1.59641 0.99845
0058 -2.26806 2.47689 1.00000 1.00000 1.00000 0.03000 1.30000 1.72323 0.99851
0059 -2.25694 1.18382 1.00000 1.00000 1.00000 0.03000 1.30000 1.10655 0.99858
