RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0001 -4.00000 2.33020 1.10000 0.50000 1.00000 0.02000 1.10000 1.66125 
0002 -3.98889 2.82839 1.09972 0.50139 1.00000 0.02003 1.10056 1.86605 
0003 -3.97778 1.01139 1.09944 0.50278 1.00000 0.02006 1.10111 1.00682 
0004 -3.96667 1.53135 1.09917 0.50417 1.00000 0.02008 1.10167 1.29135 
0005 -3.95556 1.69889 1.09889 0.50556 1.00000 0.02011 1.10222 1.37435 
0006 -3.94444 1.37839 1.09861 0.50694 1.00000 0.02014 1.10278 1.21234 
0007 -3.92778 1.13558 1.09819 0.50903 1.00000 0.02018 1.10361 1.07927 
0008 -3.76528 2.11229 1.09413 0.52934 1.00000 0.02059 1.11174 1.56622 
0009 -3.75417 2.49040 1.09385 0.53073 1.00000 0.02061 1.11229 1.72886 
0010 -3.74306 1.01289 1.09358 0.53212 1.00000 0.02064 1.11285 1.00771 
0011 -3.73194 1.45277 1.09330 0.53351 1.00000 0.02067 1.11340 1.25118 
0012 -3.72083 1.58721 1.09302 0.53490 1.00000 0.02070 1.11396 1.31941 
0013 -3.70972 1.35769 1.09274 0.53628 1.00000 0.02073 1.11451 1.20138 
0014 -3.69306 1.10737 1.09233 0.53837 1.00000 0.02077 1.11535 1.06310 
0015 -3.53056 1.93810 1.08826 0.55868 1.00000 0.02117 1.12347 1.48739 
0016 -3.51944 2.22900 1.08799 0.56007 1.00000 0.02120 1.12403 1.61758 
0017 -3.50833 1.01693 1.08771 0.56146 1.00000 0.02123 1.12458 1.01012 
0018 -3.49722 1.38647 1.08743 0.56285 1.00000 0.02126 1.12514 1.21660 
0019 -3.48611 1.49304 1.08715 0.56424 1.00000 0.02128 1.12569 1.27187 
0020 -3.47500 1.34319 1.08688 0.56562 1.00000 0.02131 1.12625 1.19367 
0021 -3.45833 1.08371 1.08646 0.56771 1.00000 0.02135 1.12708 1.04942 
0022 -3.29583 1.79655 1.08240 0.58802 1.00000 0.02176 1.13521 1.42123 
0023 -3.28472 2.02178 1.08212 0.58941 1.00000 0.02179 1.13576 1.52560 
0024 -3.27361 1.02355 1.08184 0.59080 1.00000 0.02182 1.13632 1.01407 
0025 -3.26250 1.33042 1.08156 0.59219 1.00000 0.02184 1.13688 1.18684 
0026 -3.25139 1.41307 1.08128 0.59358 1.00000 0.02187 1.13743 1.23055 
0027 -3.24028 1.33457 1.08101 0.59497 1.00000 0.02190 1.13799 1.18906 
0028 -3.22361 1.06422 1.08059 0.59705 1.00000 0.02194 1.13882 1.03805 
0029 -3.06111 1.68007 1.07653 0.61736 1.00000 0.02235 1.14694 1.36520 
0030 -3.05000 1.85427 1.07625 0.61875 1.00000 0.02237 1.14750 1.44845 
0031 -3.03889 1.03284 1.07597 0.62014 1.00000 0.02240 1.14806 1.01957 
0032 -3.02778 1.28308 1.07569 0.62153 1.00000 0.02243 1.14861 1.16132 
0033 -3.01667 1.34480 1.07542 0.62292 1.00000 0.02246 1.14917 1.19452 
0034 -3.00556 1.33162 1.07514 0.62431 1.00000 0.02249 1.14972 1.18749 
0035 -2.98889 1.04855 1.07472 0.62639 1.00000 0.02253 1.15056 1.02885 
0036 -2.82639 1.58331 1.07066 0.64670 1.00000 0.02293 1.15868 1.31747 
0037 -2.81528 1.71675 1.07038 0.64809 1.00000 0.02296 1.15924 1.38300 
0038 -2.80417 1.04489 1.07010 0.64948 1.00000 0.02299 1.15979 1.02670 
0039 -2.79306 1.24323 1.06983 0.65087 1.00000 0.02302 1.16035 1.13955 
0040 -2.78194 2.80115 1.06955 0.65226 1.00000 0.02305 1.16090 1.85525 
0041 -2.77083 1.28376 1.06927 0.65365 1.00000 0.02307 1.16146 1.16169 
0042 -2.75972 1.33457 1.06899 0.65503 1.00000 0.02310 1.16201 1.18906 
0043 -2.74306 1.03598 1.06858 0.65712 1.00000 0.02314 1.16285 1.02143 
0044 -2.58056 1.49890 1.06451 0.67743 1.00000 0.02355 1.17097 1.27486 
0045 -2.56944 1.59753 1.06424 0.67882 1.00000 0.02358 1.17153 1.32455 
0046 -2.55833 1.06063 1.06396 0.68021 1.00000 0.02360 1.17208 1.03595 
0047 -2.54722 1.20852 1.06368 0.68160 1.00000 0.02363 1.17264 1.12035 
0048 -2.53611 2.45521 1.06340 0.68299 1.00000 0.02366 1.17319 1.71417 
0049 -2.52500 2.81598 1.06313 0.68437 1.00000 0.02369 1.17375 1.86114 
0050 -2.51389 1.22961 1.06285 0.68576 1.00000 0.02372 1.17431 1.13203 
0051 -2.50278 1.34431 1.06257 0.68715 1.00000 0.02374 1.17486 1.19426 
0052 -2.48611 1.02681 1.06215 0.68924 1.00000 0.02378 1.17569 1.01600 
0053 -2.32361 1.42571 1.05809 0.70955 1.00000 0.02419 1.18382 1.23714 
0054 -2.31250 1.49419 1.05781 0.71094 1.00000 0.02422 1.18437 1.27246 
0055 -2.30139 1.08072 1.05753 0.71233 1.00000 0.02425 1.18493 1.04768 
0056 -2.29028 1.17903 1.05726 0.71372 1.00000 0.02427 1.18549 1.10386 
0057 -2.27917 2.18058 1.05698 0.71510 1.00000 0.02430 1.18604 1.59641 
0058 -2.26806 2.47689 1.05670 0.71649 1.00000 0.02433 1.18660 1.72323 
0059 -2.25694 1.18382 1.05642 0.71788 1.00000 0.02436 1.18715 1.10655 
0060 -2.24583 1.36112 1.05615 0.71927 1.00000 0.02439 1.18771 1.20320 
0061 -2.22917 1.02153 1.05573 0.72135 1.00000 0.02443 1.18854 1.01286 
0062 -2.06667 1.36518 1.05167 0.74167 1.00000 0.02483 1.19667 1.20535 
0063 -2.05556 1.40812 1.05139 0.74306 1.00000 0.02486 1.19722 1.22796 
0064 -2.04444 1.10483 1.05111 0.74444 1.00000 0.02489 1.19778 1.06164 
0065 -2.03333 1.15576 1.05083 0.74583 1.00000 0.02492 1.19833 1.09074 
0066 -2.02222 1.96729 1.05056 0.74722 1.00000 0.02494 1.19889 1.50079 
0067 -2.01111 2.21331 1.05028 0.74861 1.00000 0.02497 1.19944 1.61074 
0068 -2.00000 1.14525 1.05000 0.75000 1.00000 0.02500 1.20000 1.08478 
0069 -1.98889 1.38546 1.04972 0.75139 1.00000 0.02503 1.20056 1.21606 
0070 -1.97222 1.02005 1.04931 0.75347 1.00000 0.02507 1.20139 1.01198 
0071 -1.80972 1.31526 1.04524 0.77378 1.00000 0.02548 1.20951 1.17871 
0072 -1.79861 1.33602 1.04497 0.77517 1.00000 0.02550 1.21007 1.18984 
0073 -1.78750 1.13333 1.04469 0.77656 1.00000 0.02553 1.21062 1.07799 
0074 -1.77639 1.13815 1.04441 0.77795 1.00000 0.02556 1.21118 1.08073 
0075 -1.76528 1.79788 1.04413 0.77934 1.00000 0.02559 1.21174 1.42186 
0076 -1.75417 2.00358 1.04385 0.78073 1.00000 0.02561 1.21229 1.51735 
0077 -1.74306 1.11298 1.04358 0.78212 1.00000 0.02564 1.21285 1.06633 
0078 -1.73194 1.41799 1.04330 0.78351 1.00000 0.02567 1.21340 1.23312 
0079 -1.71528 1.02235 1.04288 0.78559 1.00000 0.02571 1.21424 1.01335 
0080 -1.55278 1.27439 1.03882 0.80590 1.00000 0.02612 1.22236 1.15659 
0081 -1.54167 1.27541 1.03854 0.80729 1.00000 0.02615 1.22292 1.15715 
0082 -1.53056 1.16669 1.03826 0.80868 1.00000 0.02617 1.22347 1.09692 
0083 -1.51944 1.12581 1.03799 0.81007 1.00000 0.02620 1.22403 1.07369 
0084 -1.50833 1.66100 1.03771 0.81146 1.00000 0.02623 1.22458 1.35588 
0085 -1.49722 1.83359 1.03743 0.81285 1.00000 0.02626 1.22514 1.43874 
0086 -1.48611 1.08629 1.03715 0.81424 1.00000 0.02628 1.22569 1.05091 
0087 -1.47500 1.45968 1.03687 0.81562 1.00000 0.02631 1.22625 1.25474 
0088 -1.45833 1.02846 1.03646 0.81771 1.00000 0.02635 1.22708 1.01698 
0089 -1.29583 1.24140 1.03240 0.83802 1.00000 0.02676 1.23521 1.13854 
0090 -1.28472 1.22442 1.03212 0.83941 1.00000 0.02679 1.23576 1.12917 
0091 -1.27361 1.20548 1.03184 0.84080 1.00000 0.02682 1.23632 1.11865 
0092 -1.26250 1.11847 1.03156 0.84219 1.00000 0.02684 1.23687 1.06949 
0093 -1.25139 1.54892 1.03128 0.84358 1.00000 0.02687 1.23743 1.30022 
0094 -1.24028 1.69374 1.03101 0.84497 1.00000 0.02690 1.23799 1.37185 
0095 -1.22917 1.06463 1.03073 0.84635 1.00000 0.02693 1.23854 1.03829 
