RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing  gray
0026 -3.25139 1.41307 1.00000 1.00000 1.00000 0.03000 1.30000 1.23055 1.02000
0027 -3.24028 1.33457 1.00000 1.00000 1.00000 0.03000 1.30000 1.18906 1.02000
0028 -3.22361 1.06422 1.00000 1.00000 1.00000 0.03000 1.30000 1.03805 1.02000
0029 -3.06111 1.68007 1.00000 1.00000 1.00000 0.03000 1.30000 1.36520 1.02000
0030 -3.05000 1.85427 1.00000 1.00000 1.00000 0.03000 1.30000 1.44845 1.02000
0031 -3.03889 1.03284 1.00000 1.00000 1.00000 0.03000 1.30000 1.01957 1.00000
0032 -3.02778 1.28308 1.00000 1.00000 1.00000 0.03000 1.30000 1.16132 1.02000
0033 -3.01667 1.34480 1.00000 1.00000 1.00000 0.03000 1.30000 1.19452 1.02000
0034 -3.00556 1.33162 1.00000 1.00000 1.00000 0.03000 1.30000 1.18749 1.02000
0035 -2.98889 1.04855 1.00000 1.00000 1.00000 0.03000 1.30000 1.02885 1.02000
0036 -2.82639 1.58331 1.00000 1.00000 1.00000 0.03000 1.30000 1.31747 1.02000
0037 -2.81528 1.71675 1.00000 1.00000 1.00000 0.03000 1.30000 1.38300 1.02000
0038 -2.80417 1.04489 1.00000 1.00000 1.00000 0.03000 1.30000 1.02670 1.00000
0039 -2.79306 1.24323 1.00000 1.00000 1.00000 0.03000 1.30000 1.13955 1.02000
0040 -2.78194 2.80115 1.00000 1.00000 1.00000 0.03000 1.30000 1.85525 1.02000
0041 -2.77083 1.28376 1.00000 1.00000 1.00000 0.03000 1.30000 1.16169 1.02000
0042 -2.75972 1.33457 1.00000 1.00000 1.00000 0.03000 1.30000 1.18906 1.00000
0043 -2.74306 1.03598 1.00000 1.00000 1.00000 0.03000 1.30000 1.02143 1.02000
0044 -2.58056 1.49890 1.00000 1.00000 1.00000 0.03000 1.30000 1.27486 1.02000
0045 -2.56944 1.59753 1.00000 1.00000 1.00000 0.03000 1.30000 1.32455 1.02000
0046 -2.55833 1.06063 1.00000 1.00000 1.00000 0.03000 1.30000 1.03595 1.00000
0047 -2.54722 1.20852 1.00000 1.00000 1.00000 0.03000 1.30000 1.12035 1.02000
0048 -2.53611 2.45521 1.00000 1.00000 1.00000 0.03000 1.30000 1.71417 1.02000
0049 -2.52500 2.81598 1.00000 1.00000 1.00000 0.03000 1.30000 1.86114 1.02000
0050 -2.51389 1.22961 1.00000 1.00000 1.00000 0.03000 1.30000 1.13203 1.02000
0051 -2.50278 1.34431 1.00000 1.00000 1.00000 0.03000 1.30000 1.19426 1.00000
0052 -2.48611 1.02681 1.00000 1.00000 1.00000 0.03000 1.30000 1.01600 1.02000
0053 -2.32361 1.42571 1.00000 1.00000 1.00000 0.03000 1.30000 1.23714 1.02000
0054 -2.31250 1.49419 1.00000 1.00000 1.00000 0.03000 1.30000 1.27246 1.02000
0055 -2.30139 1.08072 1.00000 1.00000 1.00000 0.03000 1.30000 1.04768 1.00000
0056 -2.29028 1.17903 1.00000 1.00000 1.00000 0.03000 1.30000 1.10386 1.02000
0057 -2.27917 2.18058 1.00000 1.00000 1.00000 0.03000 1.30000 1.59641 1.02000
0058 -2.26806 2.47689 1.00000 1.00000 1.00000 0.03000 1.30000 1.72323 1.02000
0059 -2.25694 1.18382 1.00000 1.00000 1.00000 0.03000 1.30000 1.10655 1.02000
0060 -2.24583 1.36112 1.00000 1.00000 1.00000 0.03000 1.30000 1.20320 1.00000
0061 -2.22917 1.02153 1.00000 1.00000 1.00000 0.03000 1.30000 1.01286 1.02000
0062 -2.06667 1.36518 1.00000 1.00000 1.00000 0.03000 1.30000 1.20535 1.02000
0063 -2.05556 1.40812 1.00000 1.00000 1.00000 0.03000 1.30000 1.22796 1.02000
0064 -2.04444 1.10483 1.00000 1.00000 1.00000 0.03000 1.30000 1.06164 1.00000
0065 -2.03333 1.15576 1.00000 1.00000 1.00000 0.03000 1.30000 1.09074 1.02000
0066 -2.02222 1.96729 1.00000 1.00000 1.00000 0.03000 1.30000 1.50079 1.02000
0067 -2.01111 2.21331 1.00000 1.00000 1.00000 0.03000 1.30000 1.61074 1.02000
0068 -2.00000 1.14525 1.00000 1.00000 1.00000 0.03000 1.30000 1.08478 1.02000
