RUN  TIME     AIRMASS Water   Ozone   Ray     A0      alpha   seeing
0071 -1.80972 1.31526 1.00000 1.00000 1.00000 0.04572 1.30000 1.17871 
0072 -1.79861 1.33602 1.00000 1.00000 1.00000 0.04568 1.30000 1.18984 
0073 -1.78750 1.13333 1.00000 1.00000 1.00000 0.04563 1.30000 1.07799 
0074 -1.77639 1.13815 1.00000 1.00000 1.00000 0.04559 1.30000 1.08073 
0075 -1.76528 1.79788 1.00000 1.00000 1.00000 0.04555 1.30000 1.42186 
0076 -1.75417 2.00358 1.00000 1.00000 1.00000 0.04550 1.30000 1.51735 
0077 -1.74306 1.11298 1.00000 1.00000 1.00000 0.04546 1.30000 1.06633 
0078 -1.73194 1.41799 1.00000 1.00000 1.00000 0.04542 1.30000 1.23312 
0079 -1.71528 1.02235 1.00000 1.00000 1.00000 0.04535 1.30000 1.01335 
0080 -1.55278 1.27439 1.00000 1.00000 1.00000 0.04474 1.30000 1.15659 
0081 -1.54167 1.27541 1.00000 1.00000 1.00000 0.04470 1.30000 1.15715 
0082 -1.53056 1.16669 1.00000 1.00000 1.00000 0.04466 1.30000 1.09692 
0083 -1.51944 1.12581 1.00000 1.00000 1.00000 0.04462 1.30000 1.07369 
0084 -1.50833 1.66100 1.00000 1.00000 1.00000 0.04458 1.30000 1.35588 
0085 -1.49722 1.83359 1.00000 1.00000 1.00000 0.04454 1.30000 1.43874 
0086 -1.48611 1.08629 1.00000 1.00000 1.00000 0.04450 1.30000 1.05091 
0087 -1.47500 1.45968 1.00000 1.00000 1.00000 0.04446 1.30000 1.25474 
0088 -1.45833 1.02846 1.00000 1.00000 1.00000 0.04440 1.30000 1.01698 
0089 -1.29583 1.24140 1.00000 1.00000 1.00000 0.04383 1.30000 1.13854 
0090 -1.28472 1.22442 1.00000 1.00000 1.00000 0.04379 1.30000 1.12917 
0091 -1.27361 1.20548 1.00000 1.00000 1.00000 0.04375 1.30000 1.11865 
0092 -1.26250 1.11847 1.00000 1.00000 1.00000 0.04371 1.30000 1.06949 
0093 -1.25139 1.54892 1.00000 1.00000 1.00000 0.04367 1.30000 1.30022 
0094 -1.24028 1.69374 1.00000 1.00000 1.00000 0.04364 1.30000 1.37185 
0095 -1.22917 1.06463 1.00000 1.00000 1.00000 0.04360 1.30000 1.03829 
0096 -1.21806 1.51182 1.00000 1.00000 1.00000 0.04356 1.30000 1.28144 
0097 -1.20139 1.03849 1.00000 1.00000 1.00000 0.04350 1.30000 1.02292 
0098 -1.03889 1.21541 1.00000 1.00000 1.00000 0.04297 1.30000 1.12418 
0099 -1.02778 1.18162 1.00000 1.00000 1.00000 0.04293 1.30000 1.10532 
0100 -1.01667 1.25041 1.00000 1.00000 1.00000 0.04289 1.30000 1.14349 
0101 -1.00556 1.11597 1.00000 1.00000 1.00000 0.04286 1.30000 1.06805 
0102 -0.99444 1.45625 1.00000 1.00000 1.00000 0.04282 1.30000 1.25297 
0103 -0.98333 1.57732 1.00000 1.00000 1.00000 0.04279 1.30000 1.31448 
0104 -0.97222 1.04758 1.00000 1.00000 1.00000 0.04275 1.30000 1.02828 
0105 -0.96111 1.57616 1.00000 1.00000 1.00000 0.04272 1.30000 1.31390 
0106 -0.94444 1.05263 1.00000 1.00000 1.00000 0.04266 1.30000 1.03125 
0107 -0.78194 1.19577 1.00000 1.00000 1.00000 0.04216 1.30000 1.11324 
0108 -0.77083 1.14591 1.00000 1.00000 1.00000 0.04213 1.30000 1.08515 
0109 -0.75972 1.30235 1.00000 1.00000 1.00000 0.04209 1.30000 1.17175 
0110 -0.74861 1.11826 1.00000 1.00000 1.00000 0.04206 1.30000 1.06937 
0111 -0.73750 1.37910 1.00000 1.00000 1.00000 0.04202 1.30000 1.21271 
0112 -0.72639 1.47951 1.00000 1.00000 1.00000 0.04199 1.30000 1.26494 
0113 -0.71528 1.03479 1.00000 1.00000 1.00000 0.04196 1.30000 1.02073 
0114 -0.70417 1.65509 1.00000 1.00000 1.00000 0.04192 1.30000 1.35299 
0115 -0.68750 1.07113 1.00000 1.00000 1.00000 0.04188 1.30000 1.04209 
0116 -0.52500 1.18200 1.00000 1.00000 1.00000 0.04140 1.30000 1.10553 
0117 -0.51389 1.11641 1.00000 1.00000 1.00000 0.04137 1.30000 1.06830 
0118 -0.50278 1.36239 1.00000 1.00000 1.00000 0.04134 1.30000 1.20387 
0119 -0.49167 1.12539 1.00000 1.00000 1.00000 0.04131 1.30000 1.07345 
0120 -0.48056 1.31462 1.00000 1.00000 1.00000 0.04128 1.30000 1.17837 
0121 -0.46944 1.39672 1.00000 1.00000 1.00000 0.04125 1.30000 1.22199 
0122 -0.45833 1.02605 1.00000 1.00000 1.00000 0.04121 1.30000 1.01555 
0123 -0.44722 1.75184 1.00000 1.00000 1.00000 0.04118 1.30000 1.39990 
0124 -0.43056 1.09437 1.00000 1.00000 1.00000 0.04114 1.30000 1.05560 
0125 -0.26806 1.17377 1.00000 1.00000 1.00000 0.04069 1.30000 1.10090 
0126 -0.25694 1.09248 1.00000 1.00000 1.00000 0.04066 1.30000 1.05450 
0127 -0.24583 1.43189 1.00000 1.00000 1.00000 0.04063 1.30000 1.24035 
0128 -0.23472 2.60862 1.00000 1.00000 1.00000 0.04060 1.30000 1.77765 
0129 -0.22361 1.13815 1.00000 1.00000 1.00000 0.04057 1.30000 1.08073 
0130 -0.21250 1.25855 1.00000 1.00000 1.00000 0.04055 1.30000 1.14795 
0131 -0.20139 1.32349 1.00000 1.00000 1.00000 0.04052 1.30000 1.18313 
0132 -0.19028 1.02106 1.00000 1.00000 1.00000 0.04049 1.30000 1.01258 
0133 -0.17917 1.87661 1.00000 1.00000 1.00000 0.04046 1.30000 1.45890 
0134 -0.16250 1.12416 1.00000 1.00000 1.00000 0.04041 1.30000 1.07274 
0135 -0.00000 1.17089 1.00000 1.00000 1.00000 0.04000 1.30000 1.09928 
0136  0.01111 1.07288 1.00000 1.00000 1.00000 0.03997 1.30000 1.04311 
0137  0.02222 1.51635 1.00000 1.00000 1.00000 0.03994 1.30000 1.28375 
0138  0.03333 2.29604 1.00000 1.00000 1.00000 0.03992 1.30000 1.64660 
0139  0.04444 1.15664 1.00000 1.00000 1.00000 0.03989 1.30000 1.09124 
0140  0.05556 1.21211 1.00000 1.00000 1.00000 0.03986 1.30000 1.12234 
0141  0.06667 1.26139 1.00000 1.00000 1.00000 0.03983 1.30000 1.14950 
0142  0.07778 1.02020 1.00000 1.00000 1.00000 0.03981 1.30000 1.01207 
0143  0.08889 2.03292 1.00000 1.00000 1.00000 0.03978 1.30000 1.53064 
0144  0.10556 1.16029 1.00000 1.00000 1.00000 0.03974 1.30000 1.09330 
0145  0.26806 1.17377 1.00000 1.00000 1.00000 0.03935 1.30000 1.10090 
0146  0.27917 1.05834 1.00000 1.00000 1.00000 0.03933 1.30000 1.03461 
0147  0.29028 1.61549 1.00000 1.00000 1.00000 0.03930 1.30000 1.33347 
0148  0.30139 2.05893 1.00000 1.00000 1.00000 0.03927 1.30000 1.54236 
0149  0.31250 1.18133 1.00000 1.00000 1.00000 0.03925 1.30000 1.10515 
0150  0.32361 1.17391 1.00000 1.00000 1.00000 0.03922 1.30000 1.10098 
0151  0.33472 1.20864 1.00000 1.00000 1.00000 0.03920 1.30000 1.12041 
0152  0.34583 1.02345 1.00000 1.00000 1.00000 0.03917 1.30000 1.01400 
0153  0.35694 2.23149 1.00000 1.00000 1.00000 0.03915 1.30000 1.61867 
0154  0.37361 1.20365 1.00000 1.00000 1.00000 0.03911 1.30000 1.11764 
0155  0.53611 1.18248 1.00000 1.00000 1.00000 0.03875 1.30000 1.10580 
0156  0.54722 1.04854 1.00000 1.00000 1.00000 0.03872 1.30000 1.02885 
0157  0.55833 1.73260 1.00000 1.00000 1.00000 0.03870 1.30000 1.39065 
0158  0.56944 1.87430 1.00000 1.00000 1.00000 0.03867 1.30000 1.45782 
0159  0.58056 1.21284 1.00000 1.00000 1.00000 0.03865 1.30000 1.12275 
0160  0.59167 1.14290 1.00000 1.00000 1.00000 0.03863 1.30000 1.08344 
0161  0.60278 1.16388 1.00000 1.00000 1.00000 0.03860 1.30000 1.09533 
0162  0.61389 1.03087 1.00000 1.00000 1.00000 0.03858 1.30000 1.01841 
0163  0.62500 2.48883 1.00000 1.00000 1.00000 0.03855 1.30000 1.72821 
0164  0.64167 1.25541 1.00000 1.00000 1.00000 0.03852 1.30000 1.14623 
0165  0.80417 1.19723 1.00000 1.00000 1.00000 0.03818 1.30000 1.11406 
0166  0.81528 1.04328 1.00000 1.00000 1.00000 0.03816 1.30000 1.02575 
0167  0.82639 1.87206 1.00000 1.00000 1.00000 0.03813 1.30000 1.45677 
0168  0.83750 1.72769 1.00000 1.00000 1.00000 0.03811 1.30000 1.38829 
0169  0.84861 1.25204 1.00000 1.00000 1.00000 0.03809 1.30000 1.14438 
